window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
2182,1778076120,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000863,0.0025,28461.50,28435.25,28438.00,2018,False
2183,1778076180,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000853,0.0047,28446.00,28431.50,28437.25,1848,False
2184,1778076240,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000819,0.0072,28441.50,28412.75,28418.25,2270,False
2185,1778076300,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000773,0.0089,28436.25,28414.25,28431.25,1664,False
2186,1778076360,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000852,0.0124,28440.75,28388.00,28393.50,3329,False
2187,1778076420,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000935,0.0118,28437.25,28385.00,28437.25,2808,False
2188,1778076480,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000912,0.0107,28453.00,28426.75,28449.00,2367,False
2189,1778076540,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000957,0.0067,28481.25,28448.00,28476.75,2062,False
2190,1778076600,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000932,0.0040,28491.75,28470.75,28483.00,2238,True
2191,1778076660,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000940,0.0022,28490.25,28469.00,28490.00,1364,False
2192,1778076720,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000972,0.0050,28499.50,28474.25,28477.00,2153,False
2193,1778076780,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000953,0.0065,28480.00,28464.50,28470.75,1563,False
2194,1778076840,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000961,0.0067,28484.75,28463.50,28474.00,1568,False
2195,1778076900,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000937,0.0062,28481.25,28468.00,28470.00,1154,False
2196,1778076960,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000930,0.0047,28488.00,28464.50,28467.75,1449,False
2197,1778077020,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.001022,0.0026,28472.25,28421.50,28435.50,3132,True
2198,1778077080,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.001032,0.0001,28445.75,28413.50,28420.50,2445,True
2199,1778077140,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.001057,0.0033,28436.50,28404.50,28412.50,1912,False
2200,1778077200,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000970,0.0058,28427.50,28409.25,28422.25,1738,False
2201,1778077260,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000907,0.0078,28444.25,28417.00,28433.25,1774,False
2202,1778077320,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000900,0.0085,28440.50,28417.00,28420.75,1312,False
2203,1778077380,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000884,0.0076,28432.75,28405.75,28431.50,1695,False
2204,1778077440,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000899,0.0063,28438.00,28411.00,28436.50,1508,False
2205,1778077500,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000906,0.0044,28456.25,28432.00,28454.75,1731,False
2206,1778077560,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000920,0.0045,28465.75,28435.25,28444.25,1711,True
2207,1778077620,NQM6.CME@RITHMIC,BALANCE,RANGE,0.000928,0.0024,28461.75,28442.75,28455.25,1531,True
2208,1778077680,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000913,0.0003,28467.75,28452.25,28465.75,942,True
2209,1778077740,NQM6.CME@RITHMIC,BALANCE,RANGE,0.001020,0.0005,28469.25,28414.00,28419.50,1976,True
