alert_id,symbol,direction,entry,exit,outcome,mfe,mae,r,regime,risk_score,phase2_action
REPLAY_000307,ESM6.CME@RITHMIC,LONG,7308.25,7308.25,NO_EXIT,3.25,-1.0,0.0,BALANCE,0.44018635875493234,HOLD
REPLAY_000308,ESM6.CME@RITHMIC,LONG,7309.25,7309.25,NO_EXIT,2.25,-2.0,0.0,BALANCE,0.5087667692829508,HOLD
REPLAY_000309,ESM6.CME@RITHMIC,SHORT,7310.25,7310.25,NO_EXIT,-1.25,3.0,0.0,BALANCE,0.5709892952938175,HOLD
REPLAY_000310,ESM6.CME@RITHMIC,SHORT,7308.75,7308.75,NO_EXIT,-2.75,1.5,0.0,BALANCE,0.8023810807803529,HOLD
REPLAY_000311,ESM6.CME@RITHMIC,LONG,7307.75,7307.75,NO_EXIT,3.75,-0.5,0.0,BALANCE,0.589117776632378,HOLD
REPLAY_000312,ESM6.CME@RITHMIC,SHORT,7309.0,7309.0,NO_EXIT,-2.5,1.75,0.0,BALANCE,0.35503817276840843,HOLD
REPLAY_000313,ESM6.CME@RITHMIC,SHORT,7308.75,7308.75,NO_EXIT,-2.75,1.5,0.0,BALANCE,0.3421785297629769,HOLD
REPLAY_000314,ESM6.CME@RITHMIC,SHORT,7308.0,7308.0,NO_EXIT,-3.5,1.0,0.0,BALANCE,0.7453281334936886,HOLD
REPLAY_000315,NQM6.CME@RITHMIC,SHORT,28330.75,28334.75,STOP,-4.25,0.75,-1.0,BALANCE,0.8242198784183937,HOLD
REPLAY_000316,ESM6.CME@RITHMIC,SHORT,7310.0,7310.0,NO_EXIT,-1.5,3.25,0.0,BALANCE,0.6368605636546206,HOLD
REPLAY_000317,NQM6.CME@RITHMIC,SHORT,28343.5,28347.5,STOP,-4.0,2.5,-1.0,BALANCE,0.2581976472497192,HOLD
REPLAY_000318,ESM6.CME@RITHMIC,LONG,7309.75,7309.75,NO_EXIT,1.75,-3.0,0.0,BALANCE,0.7779251397961819,HOLD
REPLAY_000319,ESM6.CME@RITHMIC,SHORT,7310.75,7310.75,NO_EXIT,-0.75,4.0,0.0,BALANCE,0.45793956873910163,HOLD
REPLAY_000320,NQM6.CME@RITHMIC,LONG,28346.5,28342.5,STOP,5.5,-4.0,-1.0,BALANCE,0.7723939317823729,HOLD
REPLAY_000321,NQM6.CME@RITHMIC,LONG,28347.0,28343.0,STOP,1.0,-4.5,-1.0,BALANCE,0.8023525217696155,HOLD
REPLAY_000322,NQM6.CME@RITHMIC,LONG,28349.5,28345.5,STOP,3.25,-4.0,-1.0,BALANCE,0.7268068734833769,HOLD
